iter	Accuracy	MultiClass
32	0.8405200129	0.6464923024333	0.8410022504	0.6385791003434	0.8416251407	0.6301547773535	0.8419667256	0.6221437393636	0.8421073782	0.615585937	037	0.8423083106	0.607754738	038	0.8425494294	0.601637239	39	0.8434335316	0.5955874740	40	0.8439760489	0.5897007041	41	0.8444984729	0.5835982042	42	0.8449807105	0.5780259843	43	0.8449204308	0.572841644	044	0.8455835075	0.568181445	045	0.8456638804	0.563845546	046	0.8458648127	0.559194947	047	0.84640733	0.5561590948	48	0.8463269571	0.552091049	049	0.8471909661	0.54785050	0.50	0.847874136	0.543919651	051	0.8482960939	0.540973452	052	0.8486175856	0.537442153	053	0.8488787976	0.534441954	054	0.8493610352	0.531119055	055	0.8496423405	0.528759056	056	0.8499236457	0.525831957	057	0.8503656968	0.522969758	058	0.8505867224	0.520860659	059	0.8509684938	0.518210360	060	0.8511292397	0.516028061	61	0.8514306382	0.5137327462	62	0.8519932487	0.5116029763	63	0.8524955795	0.5088146164	64	0.8528170712	0.5066854365	65	0.8532189359	0.505131066	066	0.853922199	0.5034145567	67	0.8547259283	0.5012370268	68	0.8547661148	0.499275969	069	0.855127793	0.4974832870	70	0.8554291914	0.495511471	071	0.8558712426	0.494211672	072	0.8560520817	0.492634673	073	0.8562932005	0.49098074	0.74	0.8566548786	0.48970875	0.75	0.8566950651	0.48818676	0.76	0.8569763704	0.48677577	0.77	0.8573581418	0.48543378	0.78	0.8578805658	0.48404579	0.79	0.8584431763	0.48309980	0.80	0.8584029899	0.48223681	0.81	0.8589254139	0.48047282	0.82	0.8594277447	0.47893683	0.83	0.8596889568	0.47742684	0.84	0.8598497026	0.47594685	0.85	0.8600908214	0.47413986	086	0.860311847	0.473013987	087	0.8607739913	0.471545088	088	0.861095483	0.4705437589	89	0.8612964154	0.469459690	090	0.8615777206	0.468672991	091	0.8618791191	0.46781892	0.92	0.8621001447	0.46651793	0.93	0.8624819161	0.46547494	0.94	0.8626225687	0.46466495	0.95	0.8628636875	0.46337296	0.96	0.8630646198	0.46257797	0.97	0.8631449928	0.46187698	0.98	0.863426298	0.460415399	099	0.8637879762	0.4592381100	100	0.8639085356	0.4582527101101	0.8640491882	0.45744649102102	0.8644108664	0.45619318103103	0.8647725446	0.4550971104	104	0.8649131972	0.4545096105105	0.8650940363	0.45361182106106	0.8652748754	0.45273977107107	0.865234689	0.45223807210108	0.8657370198	0.45136919610109	0.86635991	0.4502719572
110	0.8670229867	0.449129861
111	0.8671636393	0.4485209026
112	0.8673444784	0.4473974868
113	0.8674248513	0.4466221314
114	0.8682687671	0.445715385
115	0.8684696994	0.4449784893
116	0.8687309114	0.4443241249
117	0.8689921235	0.4432214695
118	0.8691327761	0.442141733
119	0.8692734287	0.4414798729
120	0.8694542678	0.4403850272
121	0.8696752934	0.4393674148
122	0.8698963189	0.4382709208
123	0.8701374377	0.437371003
124	0.8702178106	0.4365936461
125	0.87033837	0.4359610625
